name,special_price,price
Iphone 15 Pro Max Dual Physical Sim (no E-sim) - 1 TB - Natural Titanium,1800000,1805000
Iphone 15 Pro Dual Physical Sim (no E-sim) - 1 Tb - Natural Titanium,1550000,1555000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone Xr - 6.1"" - 3gb Ram - 64gb Rom - Wifi + 4g - Nano Sim - 3000mah - Blue - Renewed",298999,480000
"Iphone 14 Pro Max - 6.7"" - 256GB ROM - 6GB RAM - 5g - 4323mAh",1170000,1300000
"Iphone 16 Plus - 6.7"" - 256GB RAM - 8GB RAM - Single Nano Sim - 5g - 4674mAh - Black",1450000,1450000
"Iphone 16 Pro Max - 6.9"" - 256GB RAM - 8GB RAM - Single Sim - 5g - 4685mAh - Black",1925000,1925000
"Iphone 16 Pro - 6.3"" - 256GB RAM - 8GB RAM - Single Sim - 5g - 3582mAh - Black",1725000,1725000
"iPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5g - 3561mAh - White",1215000,1215000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5g - 3561mAh - Black",1215000,1215000
"IPhone 15 Pro Max - 6.7"" - 256GB RAM - 8GB RAM - Single Sim - 5G - 4441mAh - Black Titanium",1635000,1635000
"IPhone 15 Pro Max - 6.7"" - 256GB RAM - 8GB RAM - Single Sim - 5G - 4441mAh - White Titanium",1635000,1635000
"iPhone 15 Pro - 6.1"" - 128GB Rom - 8GB Ram - Single Sim - 5G - 3274mAh - White Titanium",1285000,1285000
"iPhone 15 Pro - 6.1"" - 128GB Rom - 8GB Ram - Single Sim - 5G - 3274mAh - Black Titanium",1285000,1285000
"iPhone 15 - 6.1"" - 128GB ROM - 6GB RAM - Single Sim - 3349mAh - Blue",968000,968000
"iPhone 15 - 6.1"" - 128GB ROM - 6GB RAM - Single Sim - 3349mAh - Pink",968000,968000
"Iphone 15 - 6.1"" - 128GB ROM - 6GB RAM - Single Sim - 3349mAh - Black",968000,968000
Iphone 15 Pro Max- 256GB ROM -8GB RAM-1sim + Esim- 4441mAh-Blue Titanium,2465000,2465000
Iphone 16 Pro Max 8GB RAM- 256GB ROM- Nano Sim- 4685mah-Natural Titanium,2682500,2682500
"Iphone 17 Pro - 6.3"" - Physical & Esim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Deep Blue",2499999,3200000
"Iphone 17 Pro - 6.3"" - Physical & Esim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Cosmic Orange",2499999,3200000
"Iphone 17 Pro - 6.3"" - Physical & Esim - 256GB ROM - 12GB RAM - Ios 26 - Silver",2499999,3200000
Iphone 17 Pro Max - 512GB ROM - 12GB RAM - Physical & Esim - Ios 26 - Deep Blue,3279000,4200000
Iphone 17 Pro Max - 512GB RAM - 12GB ROM - Physical & Esim - Ios 26 - Cosmic Orange,3279000,4200000
Iphone 17 Pro Max - 512GB RAM - 12GB ROM - Physical & Esim - Nano Sim - Ios 26 - Silver,3279000,4500000
"Iphone 17 Pro - 6.3"" - Dual Sim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Cosmic Orange",2499999,3000000
"Iphone 17 Pro - 6.3"" - Dual Sim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Deep Blue",2499999,3000000
"Iphone 17 Pro - 6.3"" - Dual Sim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Silver",2499999,3000000
Iphone 17 Pro Max - 512GB ROM - 12GB RAM - Dual Sim - Nano Sim - Ios 26 - Deep Blue,3279000,4000000
Iphone 17 Pro Max - 512GB ROM - 12GB RAM - Dual Sim - Nano Sim- Ios 26 - Cosmic Orange,3279000,4000000
Iphone 17 Pro Max - 512GB ROM - 12GB RAM - Dual Sim - Nano Sim - Ios 26 - Silver,3279000,4000000
Iphone 17 Pro Max - Physical & Esim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Orange,2849000,3000000
Iphone 17 Pro Max - Physical & Esim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Deep Blue,2849000,3000000
Iphone 17 Pro Max - Physical & Esim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Silver,2849000,3000000
"Iphone 17 Pro Max - 6.9"" - Dual Sim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Deep Blue",2849000,3000000
"iPhone 17 Pro Max - 6.9"" - Dual Sim - 256GB ROM - 12GB RAM - Nano Sim - Ios 26 - Orange",2849000,3000000
"iPhone 17 Pro Max - 6.9"" - Dual sim - 256GB ROM - 12GB RAM - Nano Sim - iOS 26 - Silver",2849000,3000000
"IPhone 17 Pro Max - 6.9"" - 256GB ROM - 12GB RAM - Single Nano Sim - Ios 26 - 5088mAh - Cosmic Orange",3000000,3000000
"IPhone 17 Pro Max - 6.9"" - 256GB ROM - 12GB Ram - Single Nano Sim - 5088mAh - Silver",3000000,3000000
"IPhone 17 Pro Max - 6.9"" - 256GB ROM - 12GB RAM - Single Nano Sim - 5088mAh - Deep Blue",3000000,3000000
iPhone 17 Air 256GB Single SIM - Sky Blue,2150000,2150000
iPhone 17 Air 256GB Single SIM - Light Gold,2150000,2150000
iPhone 17 Air 256GB Single SIM - Space Black,2150000,2150000
iPhone 17 Pro 1TB Single Sim - Cosmic Orange,3000000,3000000
iPhone 17 Pro 1TB Single Sim - Deep Blue,3000000,3000000
iPhone 17 Pro 1TB Single Sim - Silver,3000000,3000000
iPhone 17 Pro Max 1TB Single Sim - Cosmic Orange,3800000,3800000
iPhone 17 Pro Max 1TB Single Sim - Deep Blue,3700000,3700000
iPhone 17 Pro Max 1TB Single Sim - Silver,3800000,3800000
iPhone 17 Pro Max 2TB Single Sim - Cosmic Orange,4300000,4300000
iPhone 17 Pro Max 2TB Single Sim - Deep Blue,4250000,4250000
iPhone 17 Pro Max 2TB Single Sim - Silver,4250000,4250000
iPhone 17 256GB Single Sim - White,1550000,1550000
iPhone 17 256GB Single Sim - Lavender,1550000,1550000
iPhone 17 256GB Single Sim - Blue,1550000,1550000
Iphone 16 Plus 5g  - 256GB ROM - 8GB RAM - Single Nano Sim + Esim - Black,1700000,1700000
Iphone 16 Plus 5g - 256GB ROM - 8GB RAM - Single Nano Sim + ESIM - 4674mAh - Ultramarine,1750000,1750000
iPhone 17 Pro 256GB Single Sim - Silver,2200000,2200000
iPhone 17 Pro 512GB Single Sim - Cosmic Orange,2600000,2600000
iPhone 17 Pro 512GB Single Sim - Deep Blue,2600000,2600000
iPhone 17 Pro 512GB Single Sim - Silver,2600000,2600000
iPhone 17 Pro Max 256GB Single Sim - Cosmic Orange,2700000,2700000
iPhone 17 Pro Max 256GB Single Sim - Deep Blue,2700000,2700000
iPhone 17 Pro Max 256GB Single Sim - Silver,2650000,2650000
iPhone 17 Pro Max 512GB Single Sim - Cosmic Orange,3100000,3100000
iPhone 17 Pro Max 512GB Single Sim - Deep Blue,3100000,3100000
iPhone 17 Pro Max 512GB Single Sim - Silver,3100000,3100000
iPhone 17 Pro 256GB Single Sim - Deep Blue,2200000,2200000
iPhone 17 Pro 256GB Single Sim - Cosmic Orange,2250000,2250000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- White",1500000,1500000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh-  Ultramarine",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- Teal",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh- Pink",1550000,1550000
"IPhone 16 - 6.1"" - 256GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Black",1550000,1550000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - White",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Ultramarine",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Teal",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Pink",1450000,1450000
"IPhone 16 - 6.1"" - 128GB ROM - 8GB RAM - Single Nano Sim - 5G - 3561mAh - Black",1450000,1450000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 64GB ROM - 6GB RAM - 2815mAh",446000,550000
"Iphone 12 - 6.1"" - 128GB ROM - 6GB RAM - 2815mAh",496000,600000
